axis	diff_a_b	p
('majuscule', 'minuscule')	0.0005726415958257304	0.019
('disenfranchised', 'enfranchised')	0.0005702787807029056	0.007
('monochromatic', 'polychromatic')	0.0005697628960948048	0.013
('complex', 'simple')	0.0005651907385656532	0.001
('extramural', 'intramural')	0.0005608304763446512	0.0
('anadromous', 'diadromous')	0.0005601417932994887	0.001
('abnormal', 'normal')	0.0005583260715179266	0.006
('contented', 'discontented')	0.0005567882837947073	0.008
('curly', 'straight')	0.00055586472336327	0.034
('datable', 'undatable')	0.0005555705639572152	0.001
('stained', 'unstained')	0.0005533252510699317	0.031
('carnivorous', 'herbivorous')	0.0005497491569740791	0.0
('nonpsychoactive', 'psychoactive')	0.0005451834859729107	0.02
('invulnerable', 'vulnerable')	0.0005438002306462058	0.045
('unvoiced', 'voiced')	0.0005349058882088142	0.039
('downmarket', 'upmarket')	0.0005348327991195265	0.047
('punished', 'unpunished')	0.000528304189097533	0.008
('nonsectarian', 'sectarian')	0.0005244518676480328	0.003
('allogeneic', 'xenogeneic')	0.0005205233526084652	0.0
('costive', 'laxative')	0.0005174497820280132	0.02
('acyclic', 'cyclic')	0.0005134206706608	0.002
('disenchanted', 'enchanted')	0.0005124844765377855	0.025
('clothed', 'unclothed')	0.0005112848481946394	0.031
('nonreturnable', 'returnable')	0.0004970410211848474	0.0
('contested', 'uncontested')	0.0004969014873216276	0.0
('impervious', 'pervious')	0.000492102900807455	0.001
('conditioned', 'unconditioned')	0.0004896772250032166	0.037
('joyful', 'sorrowful')	0.0004892722116603973	0.039
('immediate', 'mediate')	0.0004886523987536586	0.021
('heedful', 'heedless')	0.0004793992757613991	0.0
('signed', 'unsigned')	0.0004780952822018205	0.006
('sinkable', 'unsinkable')	0.00046690266119682033	0.0
('parented', 'unparented')	0.00046525684609481123	0.001
('registered', 'unregistered')	0.00045582728309704126	0.04
('armed', 'unarmed')	0.000455143390313148	0.006
('crossbred', 'purebred')	0.00045279068437619873	0.009
('bipedal', 'quadrupedal')	0.00045043132964882934	0.002
('accompanied', 'unaccompanied')	0.00044169866311489104	0.02
('airworthy', 'unairworthy')	0.0004409029940600521	0.001
('invertible', 'non-invertible')	0.000436626216767687	0.007
('waning', 'waxing')	0.0004356130997709706	0.0
('adoptable', 'unadoptable')	0.0004350900028876857	0.006
('benign', 'malign')	0.0004344972534304206	0.015
('interspecies', 'intraspecies')	0.00042969870447506515	0.002
('restricted', 'unrestricted')	0.0004281136210026364	0.004
('belted', 'unbelted')	0.0004221442555778958	0.019
('feminine', 'neuter')	0.0004216792748370692	0.029
('irregular', 'regular')	0.00041884002081884336	0.037
('associative', 'nonassociative')	0.0004141156061582933	0.045
('postwar', 'prewar')	0.000412352918157602	0.0
('inflected', 'uninflected')	0.0004113280327344825	0.005
('end-stopped', 'run-on')	0.00040483380967580324	0.012
('fretted', 'unfretted')	0.0004042778213585521	0.031
('regenerate', 'unregenerate')	0.0003980046562760912	0.034
('heavy-duty', 'light-duty')	0.00039587566046342827	0.012
('long', 'short')	0.0003909527957656634	0.008
('earned', 'unearned')	0.00038989759463787903	0.024
('hypertensive', 'normotensive')	0.0003878884200329115	0.01
('leeward', 'windward')	0.0003872454790511447	0.0
('female', 'male')	0.00038540680361937116	0.0
('perinatal', 'prenatal')	0.00038501428483839455	0.004
('invisible', 'visible')	0.00038384900506212207	0.009
('gabled', 'hipped')	0.00037441068823203076	0.002
('expired', 'unexpired')	0.0003674288151145821	0.038
('sonic', 'subsonic')	0.0003628502885217374	0.036
('tongued', 'tongueless')	0.0003583200181996723	0.006
('inhibited', 'uninhibited')	0.00035352037877083714	0.037
('moneyed', 'moneyless')	0.0003454183165286671	0.006
('saturated', 'unsaturated')	0.00034423901428251406	0.026
('ascending', 'descending')	0.0003404193432307674	0.0
('first', 'second')	0.00033638296385458174	0.04
('absorbable', 'adsorbable')	0.0003344549533071126	0.014
('mitigated', 'unmitigated')	0.00033354408226310157	0.017
('atrophied', 'hypertrophied')	0.00033177759389261575	0.003
('appealable', 'unappealable')	0.0003309897250488433	0.009
('taciturn', 'voluble')	0.0003299044175715674	0.0
('bimodal', 'unimodal')	0.00032870436948561786	0.0
('destructible', 'indestructible')	0.00032509444699997756	0.002
('diploid', 'polyploid')	0.00032499361683413237	0.011
('lean', 'rich')	0.0003240619199954371	0.031
('eradicable', 'ineradicable')	0.0003211565973187244	0.0
('binaural', 'monaural')	0.00031962417789405334	0.0
('aerobic', 'anaerobic')	0.0003162669792693934	0.004
('merciful', 'merciless')	0.00031401590464372794	0.009
('centralizing', 'decentralizing')	0.0003095337182396204	0.032
('all', 'no')	0.0003049614993898223	0.013
('documented', 'undocumented')	0.00028638971564941187	0.035
('contralateral', 'ipsilateral')	0.0002851833175439582	0.0
('conquerable', 'unconquerable')	0.00028391701125274425	0.018
('antipyretic', 'pyretic')	0.00028335191855231607	0.007
('hypertensive', 'hypotensive')	0.00027559647444805584	0.004
('haploid', 'polyploid')	0.0002747712906563918	0.002
('eared', 'earless')	0.0002684194516865777	0.023
('lipless', 'lipped')	0.0002640959820731192	0.004
('credulous', 'incredulous')	0.00026175491878653676	0.023
('lowered', 'raised')	0.0002615194595411525	0.05
('endergonic', 'exergonic')	0.000260562452541854	0.0
('lost', 'won')	0.0002591024105590145	0.027
('monotonic', 'nonmonotonic')	0.00024299864446661714	0.006
('idiographic', 'nomothetic')	0.00023202891893274414	0.0
('corporeal', 'incorporeal')	0.0002247949793908106	0.02
('monotheistic', 'polytheistic')	0.0001988368228480436	0.01
('bivalve', 'univalve')	0.00019865962566186553	0.047
('monogamous', 'polygamous')	0.00019595294569383888	0.019
('oviparous', 'ovoviviparous')	0.00019085106125051304	0.002
('subsonic', 'supersonic')	0.00018907747960884803	0.013
('air-to-air', 'surface-to-air')	0.00017895550467563652	0.02
('antemeridian', 'postmeridian')	0.00017639532249460262	0.0
('bivalent', 'univalent')	0.00017525569151989563	0.004
('automatic', 'manual')	0.00016399733094847688	0.035
('heterologous', 'homologous')	0.00015374340133931944	0.049
('extinguishable', 'inextinguishable')	0.00014294051123481992	0.041
('dehiscent', 'indehiscent')	0.00013850140502228467	0.003
('double-breasted', 'single-breasted')	0.00013841560738787808	0.043
('irremediable', 'remediable')	0.00012468782344364601	0.009
('herbivorous', 'omnivorous')	0.00012390250937493888	0.046
('eucaryotic', 'procaryotic')	0.0001222056466631755	0.017
('endogamous', 'exogamous')	8.818766696839261e-05	0.045
('cursorial', 'fossorial')	7.482422583856576e-05	0.043
